stage,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us,kernelName,err,tflops,bw
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,192.3337,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_xcd4_fp4,0.8%,267.97,8378.14
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,107.383,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0,0.0%,479.96,15006.09
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,111.0873,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_fp4,0.8%,463.96,14505.7
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,153.6223,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_xcd4,0.0%,335.5,10489.36
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,161.2885,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_xcd4_fp4,0.8%,319.55,9990.79
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,104.1701,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3,0.0%,494.76,15468.92
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,108.5876,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_fp4,0.8%,474.64,14839.62
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,148.4489,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_xcd4,0.0%,347.19,10854.91
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,155.4678,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_xcd4_fp4,0.8%,331.51,10364.84
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,133.9273,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb2_bnt0_fp4,100.0%,384.83,12031.89
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,195.5645,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb2_bnt0_xcd4_fp4,100.0%,263.54,8239.73
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,174.7053,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb2_bnt0_go_fp4,100.0%,295.01,9223.53
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,264.6822,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb2_bnt0_go_xcd4_fp4,100.0%,194.72,6088.05
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,130.8781,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb2_fp4,100.0%,393.8,12312.21
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,184.5168,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb2_xcd4_fp4,100.0%,279.32,8733.08
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,173.3081,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb2_go_fp4,100.0%,297.39,9297.89
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,259.2711,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb2_go_xcd4_fp4,100.0%,198.79,6215.11
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,162.6619,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb4_bnt0_fp4,100.0%,316.85,9906.43
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,243.5759,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb4_bnt0_xcd4_fp4,100.0%,211.6,6615.59
